entity_cd,entity_name,year,district_cd,district_name,county_cd,county_name,num_teach,teach_oc,teach_inexp,needs_index,pupil_count,expenditures,overall_status,cccr_level,ela,social_studies,science,math,combined_test,grad_rate_6,grad_rate_5,grad_rate_4,grad_rate_combined
261401060010,PITTSFORD-MENDON HIGH SCHOOL,2019,26140106,PITTSFORD CENTRAL SCHOOL DISTRICT,26,MONROE,98,0.76530612244898,0.0510204081632653,6,1036,14007,Good Standing,4,239,245.3,243.9,207.4,230.3,98.4,99.1,99.2,99.6
261600010073,NORTHEAST COLLEGE PREPARATORY HIGH SCHOOL,2019,26160001,ROCHESTER CITY SCHOOL DISTRICT,26,MONROE,98,0.489795918367347,0.275510204081633,2,568,14377,Comprehensive Support and Improvement,3,90.9,115,125.9,71.2,94.8,54.5,59.6,59.5,64.9
261600010074,SCHOOL OF THE ARTS,2019,26160001,ROCHESTER CITY SCHOOL DISTRICT,26,MONROE,115,0.782608695652174,0.121739130434783,2,1133,11249,Good Standing,3,175.1,203.5,193.9,108.1,160.1,93.2,89.8,87,89.2
261600010095,ROBERT BROWN SCHOOL OF CONSTRUCTION AND DESIGN,2019,26160001,ROCHESTER CITY SCHOOL DISTRICT,26,MONROE,217,0.626728110599078,0.119815668202765,2,1833,13257,Comprehensive Support and Improvement,2,81.8,109.9,123.4,67.5,89.4,49.1,53.4,56.8,54.4
261600010097,VANGUARD COLLEGIATE HIGH SCHOOL,2019,26160001,ROCHESTER CITY SCHOOL DISTRICT,26,MONROE,101,0.445544554455446,0.306930693069307,2,620,10368,Comprehensive Support and Improvement,1,51.1,73,82.8,47.4,59.3,41.5,50.2,59.1,50
261600010102,ROCHESTER EARLY COLLEGE INTERNATIONAL HIGH SCHOOL,2019,26160001,ROCHESTER CITY SCHOOL DISTRICT,26,MONROE,65,0.476923076923077,0.2,2,328,15832,Good Standing,3,113.8,168.8,157.2,92,122.3,86.8,84.3,88.8,77.3
261600010103,LEADERSHIP ACADEMY FOR YOUNG MEN,2019,26160001,ROCHESTER CITY SCHOOL DISTRICT,26,MONROE,105,0.542857142857143,0.228571428571429,2,569,15266,Good Standing,3,78.9,147.2,140.8,74.6,98.8,54.7,62.1,68,63.6
261701060013,RUSH-HENRIETTA SENIOR HIGH SCHOOL,2019,26170106,RUSH-HENRIETTA CENTRAL SCHOOL DISTRICT,26,MONROE,114,0.87719298245614,0.043859649122807,5,1248,13726,Good Standing,4,206.5,237.2,230,179.2,206,92.7,93.7,93.9,94.4
261801060003,BROCKPORT HIGH SCHOOL,2019,26180106,BROCKPORT CENTRAL SCHOOL DISTRICT,26,MONROE,102,0.92156862745098,0.117647058823529,5,1050,14537,Good Standing,3,182.8,231.6,217.4,150.4,185.1,87.9,92.6,94,96
261901060009,WEBSTER-SCHROEDER HIGH SCHOOL,2019,26190106,WEBSTER CENTRAL SCHOOL DISTRICT,26,MONROE,113,0.858407079646018,0.0707964601769911,5,1350,12155,Good Standing,4,210.8,228.4,226.7,180.3,206.1,93.8,94.7,96.2,94.2
261901060015,THOMAS HIGH SCHOOL,2019,26190106,WEBSTER CENTRAL SCHOOL DISTRICT,26,MONROE,112,0.839285714285714,0.0625,5,1321,10314,Good Standing,4,201.7,233.2,229.7,178.7,203.8,99.4,99.1,98.4,99.4
262001040003,WHEATLAND-CHILI HIGH SCHOOL,2019,26200104,WHEATLAND-CHILI CENTRAL SCHOOL DISTRICT,26,MONROE,43,0.906976744186046,0.0930232558139535,5,343,16813,Good Standing,4,183,230.7,225,158,189.3,92.2,90.1,91.7,86.4
270301040002,CANAJOHARIE SENIOR HIGH SCHOOL,2019,27030104,CANAJOHARIE CENTRAL SCHOOL DISTRICT,27,MONTGOMERY,33,0.727272727272727,0.0606060606060606,4,283,17387,Good Standing,2,181.8,225.3,222.7,133.1,179.5,90.2,87.7,91.7,81.1
270601040002,FONDA-FULTONVILLE SENIOR HIGH SCHOOL,2019,27060104,FONDA-FULTONVILLE CENTRAL SCHOOL DISTRICT,27,MONTGOMERY,42,0.619047619047619,0.0476190476190476,5,373,13376,Good Standing,4,187.8,235.1,223.6,200.7,205.3,91.4,92.9,94.5,92.9
270701040003,FORT PLAIN JUNIOR-SENIOR HIGH SCHOOL,2019,27070104,FORT PLAIN CENTRAL SCHOOL DISTRICT,27,MONTGOMERY,35,1.05714285714286,0,4,358,16989,Good Standing,4,165.8,201.8,203.5,117.5,162.1,87.8,89.1,89.1,90.5
271201040004,OPPENHEIM-EPHRATAH-ST JOHNSVILLE HIGH SCHOOL,2019,27120104,OPPENHEIM-EPHRATAH-ST. JOHNSVILLE CSD,27,MONTGOMERY,33,0.939393939393939,0.212121212121212,4,285,17402,Good Standing,2,193.6,236.2,220.2,120.2,179.8,89.2,82.5,74.2,84.1
280100010007,GLEN COVE HIGH SCHOOL,2019,28010001,GLEN COVE CITY SCHOOL DISTRICT,28,"NASSAU",84,0.833333333333333,0.0714285714285714,5,1033,15124,Good Standing,2,170,205.7,191.6,129.5,165.3,77.9,81.3,82.3,83.6
280201030007,HEMPSTEAD HIGH SCHOOL,2019,28020103,HEMPSTEAD UNION FREE SCHOOL DISTRICT,28,"NASSAU",119,0.932773109243697,0.168067226890756,3,2282,13528,Comprehensive Support and Improvement,3,97.2,154.2,153.8,87,112.7,54.9,50.3,43.2,52.7
280202030010,UNIONDALE HIGH SCHOOL,2019,28020203,UNIONDALE UNION FREE SCHOOL DISTRICT,28,"NASSAU",177,1.0225988700565,0.135593220338983,3,2373,21593,Good Standing,2,182.5,216.6,200.6,106.7,165,76.2,83.2,86.2,87.2
280203030010,W TRESPER CLARKE HIGH SCHOOL,2019,28020303,EAST MEADOW UNION FREE SCHOOL DISTRICT,28,"NASSAU",84,0.666666666666667,0.0952380952380952,6,769,21365,Good Standing,4,212.6,234.4,235.3,195.6,214.4,93.4,96.7,99,97.6
280205030015,DIVISION AVENUE SENIOR HIGH SCHOOL,2019,28020503,LEVITTOWN UNION FREE SCHOOL DISTRICT,28,"NASSAU",119,0.798319327731092,0.134453781512605,5,963,2243,Good Standing,4,199.1,237.7,227.1,169.5,199.7,94.2,95.4,98,93.9
280205030016,GEN DOUGLAS MACARTHUR SENIOR HIGH SCHOOL,2019,28020503,LEVITTOWN UNION FREE SCHOOL DISTRICT,28,"NASSAU",120,0.8,0.0416666666666667,5,1234,21249,Good Standing,4,209.3,240.9,224.8,183,207.5,96.7,96.6,96.2,97
280206030006,SEAFORD SENIOR HIGH SCHOOL,2019,28020603,SEAFORD UNION FREE SCHOOL DISTRICT,28,"NASSAU",68,0.867647058823529,0.0735294117647059,6,697,19294,Good Standing,4,191.7,229.4,220.2,152.5,189.2,97.2,96.7,97.3,95.5
280208030005,ROOSEVELT HIGH SCHOOL,2019,28020803,ROOSEVELT UNION FREE SCHOOL DISTRICT,28,"NASSAU",84,1.01190476190476,0.202380952380952,3,990,20651,Good Standing,2,148.8,195.4,175.9,87.3,139.5,70.1,75.6,78.9,77.9
280209030007,FREEPORT HIGH SCHOOL,2019,28020903,FREEPORT UNION FREE SCHOOL DISTRICT,28,"NASSAU",163,0.969325153374233,0.098159509202454,3,2181,15953,Good Standing,4,159.9,210.4,186.1,102.6,152.2,81.1,83.8,84.3,86
280210030013,BALDWIN SENIOR HIGH SCHOOL,2019,28021003,BALDWIN UNION FREE SCHOOL DISTRICT,28,"NASSAU",139,0.877697841726619,0.0647482014388489,6,1547,18712,Good Standing,4,200.5,233,218,131.5,185,96,96.9,97.8,96.8
280211030010,SCHOOL 7-OCEANSIDE SENIOR HIGH SCHOOL,2019,28021103,OCEANSIDE UNION FREE SCHOOL DISTRICT,28,"NASSAU",142,0.873239436619718,0.0985915492957746,6,1749,21119,Good Standing,4,210.3,236.4,223.3,137.6,191.9,97.2,97.2,96.9,97.6
280212030005,MALVERNE SENIOR HIGH SCHOOL,2019,28021203,MALVERNE UNION FREE SCHOOL DISTRICT,28,"NASSAU",55,0.709090909090909,0.0727272727272727,5,548,22558,Good Standing,4,205.7,230.5,218.5,155.7,194.6,96.6,95.6,93.9,96.4
280214030007,GEORGE W HEWLETT HIGH SCHOOL,2019,28021403,HEWLETT-WOODMERE UNION FREE SCHOOL DISTRICT,28,"NASSAU",118,0.847457627118644,0.0932203389830508,6,1039,26553,Good Standing,4,212.2,241.9,231.8,161.2,202.9,96.3,97.3,97.4,98.2
280215030007,LAWRENCE SENIOR HIGH SCHOOL,2019,28021503,LAWRENCE UNION FREE SCHOOL DISTRICT,28,"NASSAU",77,1.14285714285714,0.051948051948052,5,873,24585,Good Standing,2,165.1,207,188.2,126,161.9,79.8,85.9,89.4,88.6
280218030007,GARDEN CITY HIGH SCHOOL,2019,28021803,GARDEN CITY UNION FREE SCHOOL DISTRICT,28,"NASSAU",104,0.923076923076923,0.0288461538461538,6,1189,19592,Good Standing,4,242,246.2,243.8,218.4,235,98.9,99.1,99.3,99
280219030002,EAST ROCKAWAY JUNIOR-SENIOR HIGH SCHOOL,2019,28021903,EAST ROCKAWAY UNION FREE SCHOOL DISTRICT,28,"NASSAU",64,0.859375,0.078125,5,555,25153,Good Standing,4,183.7,222.6,210.1,121.6,173.2,97.2,94,91.1,93.6
280221030001,SOUTH SIDE HIGH SCHOOL,2019,28022103,ROCKVILLE CENTRE UNION FREE SCHOOL DISTRICT,28,"NASSAU",96,1.05208333333333,0.03125,6,1087,21495,Good Standing,4,227.9,240.1,232.5,170.7,211.2,99.6,99.1,98.8,98.8
280223030005,WANTAGH SENIOR HIGH SCHOOL,2019,28022303,WANTAGH UNION FREE SCHOOL DISTRICT,28,"NASSAU",92,0.75,0.0434782608695652,6,881,19309,Good Standing,4,207,238.1,228.2,185.2,207.9,100,99.7,99.6,99.6
280226030006,ISLAND TREES HIGH SCHOOL,2019,28022603,ISLAND TREES UNION FREE SCHOOL DISTRICT,28,"NASSAU",73,0.794520547945205,0.0958904109589041,5,729,19545,Good Standing,4,209.5,234.5,225,171.1,202.9,98.5,98.1,97.3,98.5
280227030005,WEST HEMPSTEAD HIGH SCHOOL,2019,28022703,WEST HEMPSTEAD UNION FREE SCHOOL DISTRICT,28,"NASSAU",66,0.772727272727273,0.106060606060606,5,662,22397,Good Standing,4,208.1,228.7,216.1,136.8,188.4,93.1,95.5,95.9,97.5
280251070002,VALLEY STREAM NORTH HIGH SCHOOL,2019,28025107,VALLEY STREAM CENTRAL HIGH SCHOOL DISTRICT,28,"NASSAU",116,0.948275862068966,0.0689655172413793,6,1374,16884,Good Standing,4,217,230.9,224.4,157,200.2,93.5,96.3,98.2,97.1
280251070003,VALLEY STREAM SOUTH HIGH SCHOOL,2019,28025107,VALLEY STREAM CENTRAL HIGH SCHOOL DISTRICT,28,"NASSAU",108,0.842592592592593,0.0833333333333333,6,1284,17154,Good Standing,4,209.7,239.3,227.7,174.3,205.2,93.9,95,92.9,98.2
280251070004,VALLEY STREAM CENTRAL HIGH SCHOOL,2019,28025107,VALLEY STREAM CENTRAL HIGH SCHOOL DISTRICT,28,"NASSAU",86,0.686046511627907,0.162790697674419,6,942,17783,Good Standing,4,199.4,234.7,220.2,158.7,194.4,96.7,97.2,97.1,97.8
280252070002,ELMONT MEMORIAL HIGH SCHOOL,2019,28025207,SEWANHAKA CENTRAL HIGH SCHOOL DISTRICT,28,"NASSAU",124,0.879032258064516,0.129032258064516,6,1640,16875,Good Standing,3,205.7,237.3,212.7,130.7,185.8,96.6,96.2,96.9,95.1
280252070003,FLORAL PARK MEMORIAL HIGH SCHOOL,2019,28025207,SEWANHAKA CENTRAL HIGH SCHOOL DISTRICT,28,"NASSAU",100,0.94,0.07,6,1389,17395,Good Standing,3,209.3,226.6,219.8,154,195.1,94.3,96.5,97.7,97.5
280252070005,NEW HYDE PARK MEMORIAL HIGH SCHOOL,2019,28025207,SEWANHAKA CENTRAL HIGH SCHOOL DISTRICT,28,"NASSAU",122,0.950819672131147,0.0983606557377049,6,1823,15783,Good Standing,4,217.7,233.2,226.5,177.9,208.1,94.9,93.8,94,92.5
280253070005,SANFORD H CALHOUN HIGH SCHOOL,2019,28025307,BELLMORE-MERRICK CENTRAL HIGH SCHOOL DISTRICT,28,"NASSAU",130,0.853846153846154,0.130769230769231,6,1212,22260,Good Standing,4,225.9,236.2,231.1,189,215.9,96.5,97.6,96.8,99.4
280253070006,WELLINGTON C MEPHAM HIGH SCHOOL,2019,28025307,BELLMORE-MERRICK CENTRAL HIGH SCHOOL DISTRICT,28,"NASSAU",107,0.794392523364486,0.0841121495327103,6,1249,18630,Good Standing,4,212.3,231.1,227.6,190.7,210.6,96.4,97,97.4,97.2
280253070007,JOHN F KENNEDY HIGH SCHOOL,2019,28025307,BELLMORE-MERRICK CENTRAL HIGH SCHOOL DISTRICT,28,"NASSAU",94,0.851063829787234,0.0638297872340425,6,1046,20100,Good Standing,4,219.6,237.6,232.5,206.5,220.1,97.6,98.2,98.4,98.6
280300010008,LONG BEACH SENIOR HIGH SCHOOL,2019,28030001,LONG BEACH CITY SCHOOL DISTRICT,28,"NASSAU",123,0.894308943089431,0.0731707317073171,5,1302,24945,Good Standing,4,186,228,213.6,144.1,182.8,95.6,94.2,92.7,94.2
280403030008,ROSLYN HIGH SCHOOL,2019,28040303,ROSLYN UNION FREE SCHOOL DISTRICT,28,"NASSAU",97,0.855670103092783,0.0206185567010309,6,1041,22919,Good Standing,4,232.8,241.7,232.4,188.2,218.8,98,97.5,97,97.4
280406030002,MANHASSET SECONDARY SCHOOL,2019,28040603,MANHASSET UNION FREE SCHOOL DISTRICT,28,"NASSAU",119,0.848739495798319,0.126050420168067,6,1091,19006,Good Standing,4,239,247.6,238.1,223.1,234.5,100,99.6,99.6,99.3
280407030014,GREAT NECK SOUTH HIGH SCHOOL,2019,28040703,GREAT NECK UNION FREE SCHOOL DISTRICT,28,"NASSAU",120,0.966666666666667,0.0416666666666667,6,1223,23540,Good Standing,4,225.3,243.9,237.5,218.5,227.8,97.1,97.8,97.3,99.1
280409030008,HERRICKS HIGH SCHOOL,2019,28040903,HERRICKS UNION FREE SCHOOL DISTRICT,28,"NASSAU",132,0.75,0.0378787878787879,6,1295,20642,Good Standing,4,230.2,243.6,236.4,202.5,223.8,98.4,98.3,98.4,98
280410030006,MINEOLA HIGH SCHOOL,2019,28041003,MINEOLA UNION FREE SCHOOL DISTRICT,28,"NASSAU",103,0.864077669902913,0.116504854368932,6,1061,16422,Good Standing,4,187.2,229.3,219.1,150,186.6,96.6,97.3,96.9,98.3
280502060014,SYOSSET SENIOR HIGH SCHOOL,2019,28050206,SYOSSET CENTRAL SCHOOL DISTRICT,28,"NASSAU",212,0.995283018867924,0.0424528301886792,6,2131,24749,Good Standing,4,228.8,243.7,239.5,201.3,223.7,99.1,99.1,99.1,99.2
280504060010,PLAINVIEW-OLD BETHPAGE/JFK HIGH SCHOOL,2019,28050406,PLAINVIEW-OLD BETHPAGE CENTRAL SCHOOL DISTRICT,28,"NASSAU",153,0.901960784313726,0.0784313725490196,6,1535,22161,Good Standing,4,229.3,243,235.4,204.1,223.8,98.9,98.9,98.6,99.2
280506060002,OYSTER BAY HIGH SCHOOL,2019,28050606,OYSTER BAY-EAST NORWICH CENTRAL SCHOOL DISTRICT,28,"NASSAU",73,0.945205479452055,0.0684931506849315,6,711,23802,Good Standing,4,205.5,232.7,224.5,142.3,191.7,93.9,93.7,94.6,92.7
280517030010,HICKSVILLE HIGH SCHOOL,2019,28051703,HICKSVILLE UNION FREE SCHOOL DISTRICT,28,"NASSAU",151,0.834437086092715,0.125827814569536,5,1694,16646,Good Standing,4,189,224.2,219.7,115.3,175.2,91.4,92.8,91.4,95.5
280518030009,PLAINEDGE SENIOR HIGH SCHOOL,2019,28051803,PLAINEDGE UNION FREE SCHOOL DISTRICT,28,"NASSAU",82,0.878048780487805,0.024390243902439,6,939,19503,Good Standing,4,205.3,228.7,220.6,146.2,191.6,95.3,96.5,96.4,97.7
280521030006,BETHPAGE SENIOR HIGH SCHOOL,2019,28052103,BETHPAGE UNION FREE SCHOOL DISTRICT,28,"NASSAU",88,0.875,0.0909090909090909,6,961,20715,Good Standing,4,216.9,241,235.6,190.2,214.8,99.6,99.3,98.8,99.6
280522030009,FARMINGDALE SENIOR HIGH SCHOOL,2019,28052203,FARMINGDALE UNION FREE SCHOOL DISTRICT,28,"NASSAU",159,0.89937106918239,0.138364779874214,5,1879,18540,Good Standing,4,184.6,220.5,214.7,129.6,176.9,92.7,94.2,94.8,95
280523030011,MASSAPEQUA HIGH SCHOOL,2019,28052303,MASSAPEQUA UNION FREE SCHOOL DISTRICT,28,"NASSAU",178,0.820224719101124,0.0786516853932584,6,1657,14909,Good Standing,4,226.2,240.3,227.8,186.2,214.8,98.5,98.4,98.1,98.6
310100011292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2019,31010001,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,31,NEW YORK,21,0.80952380952381,0.285714285714286,1,198,24591,Good Standing,3,165.4,205.8,191.3,103.8,155.1,81.5,74.9,75,68.3
310100011448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2019,31010001,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,31,NEW YORK,33,0.96969696969697,0.484848484848485,1,483,14535,Good Standing,4,169.1,211.7,201.6,120.2,164.8,93.2,87,89.7,78.1
310100011509,MARTA VALLE HIGH SCHOOL,2019,31010001,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,31,NEW YORK,18,0.666666666666667,0.5,1,127,23382,Good Standing,3,152.9,182.4,176.5,114.7,148.7,64.3,74.3,79.6,79.1
310100011515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2019,31010001,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,31,NEW YORK,35,1,0.2,1,498,16855,Good Standing,3,84.6,172.9,177.1,115.4,125.2,40.3,43.1,41.3,47.7
310100011539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH HIGH SCHOOL",2019,31010001,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,31,NEW YORK,104,0.913461538461538,0.288461538461538,1,1752,10124,Good Standing,4,237.1,244.3,237.1,213.9,230.2,94.6,97.7,98.4,100
310200010412,NYC LAB HIGH SCHOOL FOR COLLABORATIVE STUDIES,2019,31020001,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,31,NEW YORK,39,1.05128205128205,0.0769230769230769,1,471,19045,Good Standing,4,233.2,241.6,223,163.7,208.7,100,99.5,99.3,99.2
310200010414,NYC MUSEUM SCHOOL,2019,31020001,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,31,NEW YORK,33,0.848484848484849,0.363636363636364,1,451,12286,Good Standing,4,224.2,240.5,228.4,154.2,203.6,98.2,99.4,100,100
310200010418,MILLENNIUM HIGH SCHOOL,2019,31020001,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,31,NEW YORK,44,0.909090909090909,0.136363636363636,1,683,9873,Good Standing,4,233,244.3,239.7,221.6,231.9,99.4,99.6,99.3,100
310200011288,FOOD AND FINANCE HIGH SCHOOL,2019,31020001,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,31,NEW YORK,31,0.903225806451613,0.225806451612903,1,389,15002,Good Standing,3,151.3,208.6,190.1,82.9,143.5,84.5,90.3,93,93.5
310200011296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,2019,31020001,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,31,NEW YORK,30,0.966666666666667,0.233333333333333,1,378,14424,Good Standing,2,163.6,178.4,177.8,104.5,148.7,81.5,82.6,80.5,85.9
310200011300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,2019,31020001,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,31,NEW YORK,26,0.884615384615385,0.346153846153846,1,314,15463,Good Standing,2,155.9,173,176.3,112.5,147.9,72.1,75.2,69.2,84.4
310200011305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,2019,31020001,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,31,NEW YORK,23,0.956521739130435,0.478260869565217,1,331,14359,Good Standing,3,158.9,208.9,194.6,103.6,154,81.4,85.4,89.1,85.7
310200011308,LOWER MANHATTAN ARTS ACADEMY,2019,31020001,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,31,NEW YORK,28,0.964285714285714,0.25,1,292,19072,Good Standing,3,153.4,193.2,178.8,106.8,147.9,83.3,85,84.9,86.8
310200011374,GRAMERCY ARTS HIGH SCHOOL,2019,31020001,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,31,NEW YORK,38,0.894736842105263,0.289473684210526,1,468,13434,Good Standing,3,183.3,199.5,192.3,107.7,161.9,80.5,84.4,84.9,87.8
310200011376,NYC ISCHOOL,2019,31020001,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,31,NEW YORK,32,1.03125,0.1875,1,463,12215,Good Standing,4,230.8,236.9,218.2,149.5,201.6,99.1,98.8,97.2,100
310200011392,MANHATTAN BUSINESS ACADEMY,2019,31020001,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,31,NEW YORK,35,0.857142857142857,0.314285714285714,1,422,14972,Good Standing,3,169.5,208.6,189.7,98.3,154.6,86.5,88.5,87.4,91.5
310200011394,EMMA LAZARUS HIGH SCHOOL,2019,31020001,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,31,NEW YORK,22,0.863636363636364,0.636363636363636,1,308,15608,Good Standing,1,127.9,175.6,162.8,123.3,139.4,61.6,66.8,59.4,79.3
310200011399,HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY (THE),2019,31020001,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,31,NEW YORK,22,0.954545454545455,0.409090909090909,1,304,13170,Good Standing,1,139.1,185.3,178.2,102.6,140.8,83.2,86.8,86.7,90.5
310200011408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,2019,31020001,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,31,NEW YORK,34,0.911764705882353,0.176470588235294,1,563,11685,Good Standing,4,200.5,229.2,208.3,130.7,182.2,93.5,95.8,94.8,99.1
310200011411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2019,31020001,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,31,NEW YORK,32,0.875,0.3125,1,476,11213,Good Standing,4,226.3,242,236.2,200,221.5,99.1,99.7,100,100
310200011420,HIGH SCHOOL FOR HEALTH PROFESSIONS & HUMAN SERVICES,2019,31020001,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,31,NEW YORK,98,1.03061224489796,0.224489795918367,1,1830,10981,Good Standing,4,195.5,223.6,205.7,146.9,184.7,92.2,93.6,95.4,93.3
310200011425,LEADERSHIP & PUBLIC SERVICE HIGH SCHOOL,2019,31020001,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,31,NEW YORK,34,0.852941176470588,0.294117647058824,1,470,12999,Good Standing,3,151.4,191.2,185.5,100.7,146.5,76.6,78.2,79.7,78.3
310200011427,MANHATTAN ACADEMY FOR ARTS AND LANGUAGES,2019,31020001,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,31,NEW YORK,24,0.833333333333333,0.25,1,237,19446,Good Standing,2,111.1,180.6,173.6,84,123.7,77.6,66.4,53.8,67.7
310200011432,MURRAY HILL ACADEMY,2019,31020001,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,31,NEW YORK,29,0.827586206896552,0.379310344827586,1,303,18526,Good Standing,3,139.8,169.5,168.8,89.8,132.9,68.7,77.7,85.5,78.8
310200011437,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,2019,31020001,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,31,NEW YORK,38,0.868421052631579,0.184210526315789,1,476,16285,Good Standing,3,150.5,186.1,178.4,96.2,142.6,70.4,78.4,75.9,88.8
310200011439,MANHATTAN VILLAGE ACADEMY,2019,31020001,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,31,NEW YORK,31,0.967741935483871,0.32258064516129,1,452,11616,Good Standing,4,223.6,242.6,227.8,208.3,221.5,100,100,100,100
310200011475,STUYVESANT HIGH SCHOOL,2019,31020001,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,31,NEW YORK,161,1,0.136645962732919,1,3321,10131,Good Standing,4,248.8,249.9,249.7,244.7,247.8,98.7,99.1,99.2,99.4
310200011489,HIGH SCHOOL OF ECONOMICS & FINANCE,2019,31020001,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,31,NEW YORK,49,0.877551020408163,0.36734693877551,1,742,12000,Good Standing,3,168.6,202.5,190.6,121.4,161.5,88.3,89.8,92.7,88.3
310200011500,UNITY CENTER FOR URBAN TECHNOLOGIES,2019,31020001,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,31,NEW YORK,18,1,0.666666666666667,1,279,15481,Good Standing,4,159.3,199.2,193.2,94.1,149.5,90.9,85.5,78.9,86.8
310200011507,URBAN ASSEMBLY GATEWAY SCHOOL FOR TECHNOLOGY,2019,31020001,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,31,NEW YORK,35,0.885714285714286,0.285714285714286,1,456,15105,Good Standing,4,200,221.1,211.5,121.6,178.8,93,93.2,94.3,92.4
310200011519,TALENT UNLIMITED HIGH SCHOOL,2019,31020001,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,31,NEW YORK,37,1,0.27027027027027,1,521,13146,Good Standing,3,231,228.5,211.5,135,194.4,98.3,98.6,97.6,100
310200011520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,2019,31020001,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,31,NEW YORK,26,0.730769230769231,0.423076923076923,1,186,25847,Good Standing,2,119.1,158.5,152.1,78.7,117.3,73.4,66.5,59.7,66.4
310200011529,JACQUELINE KENNEDY-ONASSIS HIGH SCHOOL,2019,31020001,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,31,NEW YORK,42,0.761904761904762,0.595238095238095,1,467,14903,Good Standing,3,131.9,177.5,169.9,101.1,135.1,63.2,71.6,77.3,74.3
310200011531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,2019,31020001,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,31,NEW YORK,22,0.681818181818182,0.272727272727273,1,236,14650,Good Standing,4,170,216.7,205.8,128.3,169.2,98.5,98.3,96.3,100
310200011542,MANHATTAN BRIDGES HIGH SCHOOL,2019,31020001,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,31,NEW YORK,32,0.875,0.21875,1,532,13047,Good Standing,4,184.8,211.3,209.3,144.1,179.6,96.7,95,92.4,95.8
310200011544,INDEPENDENCE HIGH SCHOOL,2019,31020001,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,31,NEW YORK,23,0.869565217391304,0.304347826086957,1,267,20566,Good Standing,2,70.4,100.7,125,56.6,81.3,12.7,33.2,40.6,46.2
310200011545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,2019,31020001,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,31,NEW YORK,27,0.925925925925926,0.259259259259259,1,403,12295,Good Standing,4,217.6,240.9,231.3,213.6,221.9,99,99.4,100,99.1
310200011551,URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,2019,31020001,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,31,NEW YORK,41,0.75609756097561,0.170731707317073,1,532,15504,Good Standing,3,158.3,211.1,202.2,109.4,157.6,85.9,88.9,88.1,92.7
310200011575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,2019,31020001,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,31,NEW YORK,47,0.872340425531915,0.106382978723404,1,548,20709,Good Standing,2,92.8,165,144.1,119.3,121.1,28,33.8,31.5,42
